year,city,country,avg_temp
1841,Kaohsiung,Taiwan,22.19
1842,Kaohsiung,Taiwan,22.51
1843,Kaohsiung,Taiwan,22.60
1844,Kaohsiung,Taiwan,22.23
1845,Kaohsiung,Taiwan,22.29
1846,Kaohsiung,Taiwan,22.88
1847,Kaohsiung,Taiwan,22.55
1848,Kaohsiung,Taiwan,22.12
1849,Kaohsiung,Taiwan,22.44
1850,Kaohsiung,Taiwan,22.62
1851,Kaohsiung,Taiwan,22.67
1852,Kaohsiung,Taiwan,22.68
1853,Kaohsiung,Taiwan,23.05
1854,Kaohsiung,Taiwan,23.00
1855,Kaohsiung,Taiwan,22.58
1856,Kaohsiung,Taiwan,22.17
1857,Kaohsiung,Taiwan,22.63
1858,Kaohsiung,Taiwan,22.42
1859,Kaohsiung,Taiwan,22.63
1860,Kaohsiung,Taiwan,22.55
1861,Kaohsiung,Taiwan,22.41
1862,Kaohsiung,Taiwan,21.67
1863,Kaohsiung,Taiwan,22.22
1864,Kaohsiung,Taiwan,22.05
1865,Kaohsiung,Taiwan,22.53
1866,Kaohsiung,Taiwan,22.63
1867,Kaohsiung,Taiwan,22.51
1868,Kaohsiung,Taiwan,23.03
1869,Kaohsiung,Taiwan,22.99
1870,Kaohsiung,Taiwan,23.09
1871,Kaohsiung,Taiwan,23.03
1872,Kaohsiung,Taiwan,23.06
1873,Kaohsiung,Taiwan,22.68
1874,Kaohsiung,Taiwan,22.87
1875,Kaohsiung,Taiwan,22.61
1876,Kaohsiung,Taiwan,22.31
1877,Kaohsiung,Taiwan,22.82
1878,Kaohsiung,Taiwan,22.88
1879,Kaohsiung,Taiwan,22.91
1880,Kaohsiung,Taiwan,22.27
1881,Kaohsiung,Taiwan,22.56
1882,Kaohsiung,Taiwan,22.44
1883,Kaohsiung,Taiwan,22.32
1884,Kaohsiung,Taiwan,21.88
1885,Kaohsiung,Taiwan,22.06
1886,Kaohsiung,Taiwan,21.92
1887,Kaohsiung,Taiwan,22.48
1888,Kaohsiung,Taiwan,22.97
1889,Kaohsiung,Taiwan,22.68
1890,Kaohsiung,Taiwan,22.85
1891,Kaohsiung,Taiwan,22.65
1892,Kaohsiung,Taiwan,22.46
1893,Kaohsiung,Taiwan,22.18
1894,Kaohsiung,Taiwan,22.69
1895,Kaohsiung,Taiwan,22.45
1896,Kaohsiung,Taiwan,22.79
1897,Kaohsiung,Taiwan,23.06
1898,Kaohsiung,Taiwan,22.84
1899,Kaohsiung,Taiwan,22.37
1900,Kaohsiung,Taiwan,22.71
1901,Kaohsiung,Taiwan,22.49
1902,Kaohsiung,Taiwan,23.07
1903,Kaohsiung,Taiwan,22.41
1904,Kaohsiung,Taiwan,22.27
1905,Kaohsiung,Taiwan,22.60
1906,Kaohsiung,Taiwan,22.79
1907,Kaohsiung,Taiwan,22.68
1908,Kaohsiung,Taiwan,22.66
1909,Kaohsiung,Taiwan,23.05
1910,Kaohsiung,Taiwan,22.69
1911,Kaohsiung,Taiwan,22.62
1912,Kaohsiung,Taiwan,22.70
1913,Kaohsiung,Taiwan,22.66
1914,Kaohsiung,Taiwan,23.11
1915,Kaohsiung,Taiwan,23.40
1916,Kaohsiung,Taiwan,22.72
1917,Kaohsiung,Taiwan,22.06
1918,Kaohsiung,Taiwan,22.27
1919,Kaohsiung,Taiwan,22.85
1920,Kaohsiung,Taiwan,22.72
1921,Kaohsiung,Taiwan,22.73
1922,Kaohsiung,Taiwan,22.94
1923,Kaohsiung,Taiwan,22.75
1924,Kaohsiung,Taiwan,22.83
1925,Kaohsiung,Taiwan,22.38
1926,Kaohsiung,Taiwan,22.75
1927,Kaohsiung,Taiwan,22.54
1928,Kaohsiung,Taiwan,23.01
1929,Kaohsiung,Taiwan,22.88
1930,Kaohsiung,Taiwan,23.08
1931,Kaohsiung,Taiwan,23.21
1932,Kaohsiung,Taiwan,22.65
1933,Kaohsiung,Taiwan,23.00
1934,Kaohsiung,Taiwan,22.65
1935,Kaohsiung,Taiwan,23.15
1936,Kaohsiung,Taiwan,22.80
1937,Kaohsiung,Taiwan,23.45
1938,Kaohsiung,Taiwan,23.31
1939,Kaohsiung,Taiwan,22.79
1940,Kaohsiung,Taiwan,22.93
1941,Kaohsiung,Taiwan,23.68
1942,Kaohsiung,Taiwan,23.51
1943,Kaohsiung,Taiwan,23.04
1944,Kaohsiung,Taiwan,23.17
1945,Kaohsiung,Taiwan,22.72
1946,Kaohsiung,Taiwan,23.73
1947,Kaohsiung,Taiwan,22.83
1948,Kaohsiung,Taiwan,23.43
1949,Kaohsiung,Taiwan,23.46
1950,Kaohsiung,Taiwan,23.17
1951,Kaohsiung,Taiwan,23.12
1952,Kaohsiung,Taiwan,23.57
1953,Kaohsiung,Taiwan,23.39
1954,Kaohsiung,Taiwan,23.54
1955,Kaohsiung,Taiwan,23.05
1956,Kaohsiung,Taiwan,23.13
1957,Kaohsiung,Taiwan,23.02
1958,Kaohsiung,Taiwan,23.24
1959,Kaohsiung,Taiwan,23.66
1960,Kaohsiung,Taiwan,23.56
1961,Kaohsiung,Taiwan,23.48
1962,Kaohsiung,Taiwan,23.09
1963,Kaohsiung,Taiwan,23.24
1964,Kaohsiung,Taiwan,23.41
1965,Kaohsiung,Taiwan,23.39
1966,Kaohsiung,Taiwan,23.82
1967,Kaohsiung,Taiwan,22.99
1968,Kaohsiung,Taiwan,22.83
1969,Kaohsiung,Taiwan,23.10
1970,Kaohsiung,Taiwan,23.09
1971,Kaohsiung,Taiwan,22.92
1972,Kaohsiung,Taiwan,23.12
1973,Kaohsiung,Taiwan,23.52
1974,Kaohsiung,Taiwan,23.21
1975,Kaohsiung,Taiwan,23.50
1976,Kaohsiung,Taiwan,22.95
1977,Kaohsiung,Taiwan,23.43
1978,Kaohsiung,Taiwan,23.38
1979,Kaohsiung,Taiwan,23.47
1980,Kaohsiung,Taiwan,23.53
1981,Kaohsiung,Taiwan,23.28
1982,Kaohsiung,Taiwan,23.25
1983,Kaohsiung,Taiwan,23.55
1984,Kaohsiung,Taiwan,22.92
1985,Kaohsiung,Taiwan,22.91
1986,Kaohsiung,Taiwan,23.03
1987,Kaohsiung,Taiwan,23.49
1988,Kaohsiung,Taiwan,23.24
1989,Kaohsiung,Taiwan,23.24
1990,Kaohsiung,Taiwan,23.40
1991,Kaohsiung,Taiwan,23.62
1992,Kaohsiung,Taiwan,23.14
1993,Kaohsiung,Taiwan,23.59
1994,Kaohsiung,Taiwan,23.93
1995,Kaohsiung,Taiwan,23.15
1996,Kaohsiung,Taiwan,23.29
1997,Kaohsiung,Taiwan,23.51
1998,Kaohsiung,Taiwan,24.45
1999,Kaohsiung,Taiwan,23.71
2000,Kaohsiung,Taiwan,23.62
2001,Kaohsiung,Taiwan,23.79
2002,Kaohsiung,Taiwan,24.16
2003,Kaohsiung,Taiwan,23.91
2004,Kaohsiung,Taiwan,23.67
2005,Kaohsiung,Taiwan,23.55
2006,Kaohsiung,Taiwan,24.12
2007,Kaohsiung,Taiwan,24.03
2008,Kaohsiung,Taiwan,23.71
2009,Kaohsiung,Taiwan,23.93
2010,Kaohsiung,Taiwan,23.76
2011,Kaohsiung,Taiwan,23.34
2012,Kaohsiung,Taiwan,23.59
2013,Kaohsiung,Taiwan,24.00
